best_epoch,best_test_loss,final_train_loss,final_test_loss,final_accuracy_train,final_accuracy_test,num_epochs,out_channels1,out_channels2,out_channels3,out_channels4,h1,h2,h3,eta,batch_size,dropout_rate,weight_decay,stride,padding,kernel_size,pool_kernel_size,pool_stride
8,0.8396790456026793,0.11269544734060764,1.2409403026103973,0.961375,0.7241211,13,128,128,256,512,512,1024,512,0.001,128,0,0,1,1,3,2,2
7,0.7909749671816826,0.2457781811952591,0.9642960373312235,0.914875,0.75390625,12,128,128,256,512,512,1024,512,0.001,128,0,0,1,1,3,3,2
9,0.8280816059559584,0.2137093217968941,1.0649782922118902,0.9255625,0.72436523,14,128,128,256,512,512,1024,512,0.001,128,0,0.001,1,1,3,2,2
12,0.7802477907389402,0.21739556765556337,0.866301791742444,0.926875,0.7602539,17,128,128,256,512,512,1024,512,0.001,128,0,0.001,1,1,3,3,2
7,0.8762545902282,0.16208419761061668,0.9462059661746025,0.9459375,0.74658203,12,128,128,256,512,512,1024,512,0.001,128,0,0.0001,1,1,3,2,2
10,0.8225713912397623,0.15610768795013427,0.8890224304050207,0.94493747,0.75561523,15,128,128,256,512,512,1024,512,0.001,128,0,0.0001,1,1,3,3,2
4,0.8739837594330311,0.29543422389030455,0.9345007482916117,0.8945625,0.7338867,9,128,128,256,512,512,1024,512,0.001,128,0,1e-05,1,1,3,2,2
5,0.833039091899991,0.31958808517456055,0.8444847855716944,0.885875,0.75390625,10,128,128,256,512,512,1024,512,0.001,128,0,1e-05,1,1,3,3,2
6,0.8506523054093122,0.2357882255911827,1.01353850774467,0.916875,0.7277832,11,128,128,256,512,512,1024,512,0.001,128,0.1,0,1,1,3,2,2
7,0.8303288426250219,0.2811060484647751,0.9782792925834656,0.8994375,0.7487793,12,128,128,256,512,512,1024,512,0.001,128,0.1,0,1,1,3,3,2
10,0.8230749350041151,0.2406795462369919,0.9263756461441517,0.9165625,0.73876953,15,128,128,256,512,512,1024,512,0.001,128,0.1,0.001,1,1,3,2,2
7,0.7932669352740049,0.38839315974712374,0.9117793347686529,0.870375,0.73291016,12,128,128,256,512,512,1024,512,0.001,128,0.1,0.001,1,1,3,3,2
7,0.8569061886519194,0.23043603491783143,1.0209210813045502,0.922875,0.7282715,12,128,128,256,512,512,1024,512,0.001,128,0.1,0.0001,1,1,3,2,2
7,0.7844522148370743,0.26475018680095674,0.9698189552873373,0.908375,0.73657227,12,128,128,256,512,512,1024,512,0.001,128,0.1,0.0001,1,1,3,3,2
7,0.9054053388535976,0.22026788622140883,1.0819865334779024,0.924125,0.7338867,12,128,128,256,512,512,1024,512,0.001,128,0.1,1e-05,1,1,3,2,2
8,0.8299442082643509,0.22619399160146714,0.9613566938787699,0.9214375,0.7597656,13,128,128,256,512,512,1024,512,0.001,128,0.1,1e-05,1,1,3,3,2
8,0.8978717643767595,0.2003301041126251,1.051173722371459,0.9329375,0.73779297,13,128,128,256,512,512,1024,512,0.001,128,0.125,0,1,1,3,2,2
9,0.852497385814786,0.18874598807096482,1.0241350196301937,0.9360625,0.7558594,14,128,128,256,512,512,1024,512,0.001,128,0.125,0,1,1,3,3,2
9,0.8497041016817093,0.2825230648517609,0.9946306888014078,0.90425,0.7182617,14,128,128,256,512,512,1024,512,0.001,128,0.125,0.001,1,1,3,2,2
10,0.8022328689694405,0.2958120942115784,0.8753062076866627,0.9009375,0.73828125,15,128,128,256,512,512,1024,512,0.001,128,0.125,0.001,1,1,3,3,2
8,0.8478019405156374,0.19018233639001847,1.0574925672262907,0.9345625,0.7463379,13,128,128,256,512,512,1024,512,0.001,128,0.125,0.0001,1,1,3,2,2
8,0.8223282657563686,0.24201664078235627,1.0106707159429789,0.9169375,0.74121094,13,128,128,256,512,512,1024,512,0.001,128,0.125,0.0001,1,1,3,3,2
7,0.855240972712636,0.20952170479297638,0.963627016171813,0.927,0.7392578,12,128,128,256,512,512,1024,512,0.001,128,0.125,1e-05,1,1,3,2,2
8,0.8488308414816856,0.23864054983854294,0.9329783841967583,0.917625,0.73950195,13,128,128,256,512,512,1024,512,0.001,128,0.125,1e-05,1,1,3,3,2
8,0.8652832321822643,0.191127863407135,1.0430506598204374,0.9338125,0.7392578,13,128,128,256,512,512,1024,512,0.001,128,0.15,0,1,1,3,2,2
8,0.8113830555230379,0.2353648090362549,0.9911308791488409,0.92075,0.73168945,13,128,128,256,512,512,1024,512,0.001,128,0.15,0,1,1,3,3,2
7,0.8345650341361761,0.346748206615448,0.9775938224047422,0.881875,0.7121582,12,128,128,256,512,512,1024,512,0.001,128,0.15,0.001,1,1,3,2,2
12,0.7799743954092264,0.26142347359657286,0.8986055012792349,0.9106875,0.74731445,17,128,128,256,512,512,1024,512,0.001,128,0.15,0.001,1,1,3,3,2
8,0.8464227765798569,0.20769233411550522,1.0251205153763294,0.9284375,0.74975586,13,128,128,256,512,512,1024,512,0.001,128,0.15,0.0001,1,1,3,2,2
6,0.8488358054310083,0.33138379311561583,0.8793038427829742,0.88675,0.7409668,11,128,128,256,512,512,1024,512,0.001,128,0.15,0.0001,1,1,3,3,2
8,0.8928728699684143,0.1851392633318901,1.1443949043750763,0.9373125,0.7375488,13,128,128,256,512,512,1024,512,0.001,128,0.15,1e-05,1,1,3,2,2
7,0.8039907887578011,0.2890361096858978,0.8754777070134878,0.8991875,0.74780273,12,128,128,256,512,512,1024,512,0.001,128,0.15,1e-05,1,1,3,3,2
6,0.895081264898181,0.2614989042878151,1.0893133357167244,0.9095,0.72753906,11,128,128,256,512,512,1024,512,0.001,128,0.175,0,1,1,3,2,2
12,0.8397406712174416,0.14150716006755829,1.1621810290962458,0.95325,0.7512207,17,128,128,256,512,512,1024,512,0.001,128,0.175,0,1,1,3,3,2
9,0.8334277216345072,0.28490964448451994,0.8900498747825623,0.904125,0.7492676,14,128,128,256,512,512,1024,512,0.001,128,0.175,0.001,1,1,3,2,2
7,0.8158201649785042,0.40438824796676637,0.8789783474057913,0.861,0.7312012,12,128,128,256,512,512,1024,512,0.001,128,0.175,0.001,1,1,3,3,2
6,0.8822775352746248,0.3140588504076004,0.9700470697134733,0.889375,0.73168945,11,128,128,256,512,512,1024,512,0.001,128,0.175,0.0001,1,1,3,2,2
9,0.8499962110072374,0.2151866842508316,0.9943134300410748,0.926875,0.74487305,14,128,128,256,512,512,1024,512,0.001,128,0.175,0.0001,1,1,3,3,2
7,0.8934153765439987,0.23601476871967317,1.0001009125262499,0.91824996,0.74194336,12,128,128,256,512,512,1024,512,0.001,128,0.175,1e-05,1,1,3,2,2
7,0.8397842459380627,0.2990946699380875,0.9236235152930021,0.896875,0.7368164,12,128,128,256,512,512,1024,512,0.001,128,0.175,1e-05,1,1,3,3,2
6,0.8604068960994482,0.2854692884683609,1.0677844882011414,0.89806247,0.72924805,11,128,128,256,512,512,1024,512,0.001,128,0.2,0,1,1,3,2,2
6,0.8503326810896397,0.34780531120300295,0.8755168356001377,0.880125,0.7492676,11,128,128,256,512,512,1024,512,0.001,128,0.2,0,1,1,3,3,2
10,0.8469685912132263,0.26288760340213774,1.035229006782174,0.9091875,0.72509766,15,128,128,256,512,512,1024,512,0.001,128,0.2,0.001,1,1,3,2,2
14,0.8023670352995396,0.23133951562643051,1.0371245332062244,0.922625,0.7297363,19,128,128,256,512,512,1024,512,0.001,128,0.2,0.001,1,1,3,3,2
6,0.8829383421689272,0.3214975517988205,1.0030933041125536,0.888625,0.7194824,11,128,128,256,512,512,1024,512,0.001,128,0.2,0.0001,1,1,3,2,2
10,0.8305773474276066,0.21484884876012803,1.1156348213553429,0.92825,0.74609375,15,128,128,256,512,512,1024,512,0.001,128,0.2,0.0001,1,1,3,3,2
8,0.9020736515522003,0.1975797342658043,1.1229925658553839,0.930375,0.73657227,13,128,128,256,512,512,1024,512,0.001,128,0.2,1e-05,1,1,3,2,2
6,0.8717050589621067,0.3388928759098053,0.8753718491643667,0.8838125,0.74560547,11,128,128,256,512,512,1024,512,0.001,128,0.2,1e-05,1,1,3,3,2
7,0.9028186462819576,0.2597867045998573,1.1860653180629015,0.9099375,0.7282715,12,128,128,256,512,512,1024,512,0.001,128,0.225,0,1,1,3,2,2
10,0.8610103465616703,0.19431028652191162,1.0456851832568645,0.9333125,0.73950195,15,128,128,256,512,512,1024,512,0.001,128,0.225,0,1,1,3,3,2
12,0.885572038590908,0.23302114218473435,0.9689909219741821,0.9233125,0.74072266,17,128,128,256,512,512,1024,512,0.001,128,0.225,0.001,1,1,3,2,2
8,0.8224315904080868,0.40338365173339846,0.8249556366354227,0.86637497,0.7429199,13,128,128,256,512,512,1024,512,0.001,128,0.225,0.001,1,1,3,3,2
7,0.8727235402911901,0.28190789818763734,0.9882086757570505,0.90125,0.7290039,12,128,128,256,512,512,1024,512,0.001,128,0.225,0.0001,1,1,3,2,2
8,0.8725366443395615,0.2732965162396431,0.9632777832448483,0.9066875,0.7397461,13,128,128,256,512,512,1024,512,0.001,128,0.225,0.0001,1,1,3,3,2
8,0.8815673422068357,0.22761959332227708,1.1590910088270903,0.9208125,0.7211914,13,128,128,256,512,512,1024,512,0.001,128,0.225,1e-05,1,1,3,2,2
8,0.8612976223230362,0.25328583747148514,0.9797669146209955,0.913375,0.7492676,13,128,128,256,512,512,1024,512,0.001,128,0.225,1e-05,1,1,3,3,2
6,0.8854737747460604,0.32906118083000185,0.9214444682002068,0.88406247,0.7373047,11,128,128,256,512,512,1024,512,0.001,128,0.25,0,1,1,3,2,2
9,0.8564170952886343,0.253754149377346,1.0547151453793049,0.91075,0.74487305,14,128,128,256,512,512,1024,512,0.001,128,0.25,0,1,1,3,3,2
12,0.8789518922567368,0.25170247292518616,0.9592011477798223,0.9181875,0.72802734,17,128,128,256,512,512,1024,512,0.001,128,0.25,0.001,1,1,3,2,2
11,0.8773898910731077,0.3128474819660187,0.9267878700047731,0.8961875,0.7416992,16,128,128,256,512,512,1024,512,0.001,128,0.25,0.001,1,1,3,3,2
7,0.896747013553977,0.2906632708311081,1.0788406133651733,0.8970625,0.7067871,12,128,128,256,512,512,1024,512,0.001,128,0.25,0.0001,1,1,3,2,2
7,0.8406756278127432,0.32562453114986417,0.9279970899224281,0.8848125,0.74072266,12,128,128,256,512,512,1024,512,0.001,128,0.25,0.0001,1,1,3,3,2
9,0.8801624067127705,0.2057739520072937,1.1815262585878372,0.92775,0.7236328,14,128,128,256,512,512,1024,512,0.001,128,0.25,1e-05,1,1,3,2,2
10,0.8584120068699121,0.21372026747465134,1.0237638521939516,0.926375,0.74194336,15,128,128,256,512,512,1024,512,0.001,128,0.25,1e-05,1,1,3,3,2
7,0.8837160989642143,0.26997412139177324,0.9965482484549284,0.9073125,0.734375,12,128,128,256,512,512,1024,512,0.001,128,0.275,0,1,1,3,2,2
9,0.8347072545439005,0.25711276310682296,1.0001618303358555,0.912375,0.7438965,14,128,128,256,512,512,1024,512,0.001,128,0.275,0,1,1,3,3,2
10,0.8536748941987753,0.31764989185333253,0.9699385520070791,0.8935625,0.7336426,15,128,128,256,512,512,1024,512,0.001,128,0.275,0.001,1,1,3,2,2
9,0.8452694844454527,0.3829730930328369,0.8631308805197477,0.870625,0.7451172,14,128,128,256,512,512,1024,512,0.001,128,0.275,0.001,1,1,3,3,2
8,0.8931761272251606,0.25166633719205855,0.9640428945422173,0.9146875,0.74121094,13,128,128,256,512,512,1024,512,0.001,128,0.275,0.0001,1,1,3,2,2
12,0.8482130076736212,0.20450312077999114,1.0220364816486835,0.932375,0.736084,17,128,128,256,512,512,1024,512,0.001,128,0.275,0.0001,1,1,3,3,2
7,0.8859117869287729,0.3020053129196167,0.9852206837385893,0.89625,0.7233887,12,128,128,256,512,512,1024,512,0.001,128,0.275,1e-05,1,1,3,2,2
8,0.8168971315026283,0.28815458953380585,0.8983661346137524,0.900375,0.75756836,13,128,128,256,512,512,1024,512,0.001,128,0.275,1e-05,1,1,3,3,2
8,0.9053263310343027,0.23848449021577836,1.1142755188047886,0.918375,0.72998047,13,128,128,256,512,512,1024,512,0.001,128,0.3,0,1,1,3,2,2
8,0.840593334287405,0.29483382165431976,0.8974661063402891,0.8969375,0.74438477,13,128,128,256,512,512,1024,512,0.001,128,0.3,0,1,1,3,3,2
7,0.887732470408082,0.43356278669834136,0.9416545778512955,0.8541875,0.71435547,12,128,128,256,512,512,1024,512,0.001,128,0.3,0.001,1,1,3,2,2
10,0.831682538613677,0.34814935302734373,0.9344167727977037,0.8855625,0.7324219,15,128,128,256,512,512,1024,512,0.001,128,0.3,0.001,1,1,3,3,2
7,0.9283918682485819,0.32410749363899233,1.0131870992481709,0.887875,0.71777344,12,128,128,256,512,512,1024,512,0.001,128,0.3,0.0001,1,1,3,2,2
7,0.83821208961308,0.3516110851764679,0.9553158599883318,0.8795625,0.73706055,12,128,128,256,512,512,1024,512,0.001,128,0.3,0.0001,1,1,3,3,2
8,0.8833148684352636,0.25963522094488145,1.1013173181563616,0.9141875,0.7141113,13,128,128,256,512,512,1024,512,0.001,128,0.3,1e-05,1,1,3,2,2
9,0.8460297230631113,0.26633488059043886,0.9382863733917475,0.9124375,0.7492676,14,128,128,256,512,512,1024,512,0.001,128,0.3,1e-05,1,1,3,3,2
